,category,title,tags,age_rating,rating_description,description,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
24,CBBC,Danger Mouse - Series 1: 5. Pink Dawn,"BBC, iPlayer, TV, Danger Mouse, Series 1: 5. Pink Dawn",U,very mild fantasy action,Supervillain the Princess is determined to pinkify the world.,https://ichef.bbci.co.uk/images/ic/1200x675/p033cvzh.jpg,11 mins,666,2 Oct 2015,Supervillain the Princess is determined to pinkify the world.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us!
25,Comedy,The Decoy Bride,"BBC, iPlayer, TV, The Decoy Bride",12A,contains infrequent moderate sex references and language,Romantic comedy about an ordinary girl who is hired to be the decoy for a famous bride.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bb17bv.jpg,85 mins,5100,9pm 26 Dec 2021,Romantic comedy about an ordinary girl who is hired to be the decoy for a famous bride.,Heartwarming romantic comedy about an ordinary girl who is hired to be the decoy for the most famous bride in the world.,"Heartwarming romantic comedy about an ordinary girl who is hired to be the decoy for the most famous bride in the world.When the wedding of superstar Lara Tyler to tweedy English author James Arber is sabotaged by paparazzi, they decide to relocate the event to the one place where the worldâs press wonât find them: the sleepy Scottish Island of Hegg. However, when their secret location is revealed, they devise a plan to use a decoy bride and think that local girl Katie will be perfect for the job. But when James meets Katie, tempers fray, dresses get ruined and love gets complicated. Can an ordinary girl fill the most famous shoes on the planet?"
26,Comedy,Gavin & Stacey - Series 2: Episode 4,"BBC, iPlayer, TV, Gavin & Stacey, Series 2: Episode 4",15,"moderate sex references, drug misuse","Mick becomes a minor celebrity for the night, while Stacey and Gavin start house-hunting.",https://ichef.bbci.co.uk/images/ic/1200x675/p089sd75.jpg,29 mins,1729,9pm 30 Mar 2008,"Mick becomes a minor celebrity for the night, while Stacey and Gavin start house-hunting.","Comedy series. Mick becomes a minor celebrity while Stacey and Gavin go house-hunting. Nessa visits Stacey, and tensions between the newlyweds come to a head at the bowling alley.","Mick becomes a minor celebrity for the night, while Stacey and Gavin start house-hunting. Nessa visits Stacey and shows the others a thing or two at the bowling alley, but tensions between the newlyweds come to a head at the end of the night, leaving the embarrassed friends to take solace in some corn on the cobs."
27,Comedy,Two Doors Down - Series 2: Episode 1,"BBC, iPlayer, TV, Two Doors Down, Series 2: Episode 1",12,strong language,"Seeking a cheap deal, Cathy and Colin try to rope others in to joining their next holiday.",https://ichef.bbci.co.uk/images/ic/1200x675/p04gb6fx.jpg,29 mins,1715,21 Nov 2016,"Seeking a cheap deal, Cathy and Colin try to rope others in to joining their next holiday.",Sitcom. Cathy and Colin return from a luxury cruise strangely keen to persuade neighbours Eric and Beth to join them on their next trip.,"Cathy and Colin have returned from a luxury cruise and seem strangely keen to persuade neighbours Eric and Beth to join them on their next trip. However, it soon transpires they have an ulterior motive - getting hold of a cheap deal. With Eric and Beth politely declining, the determined couple have another target in mind. Christine, fresh from a PPI refund windfall, wants to crow about her good fortune, and Beth is railroaded into holding a celebratory barbecue - the perfect moment for the holiday hunters to pounce."
28,Comedy,Limmy's Show - Series 1: Episode 4,"BBC, iPlayer, TV, Limmys Show, Series 1: Episode 4",15,strong language,Hard-bitten ex-junkie Jacqueline McCafferty wants a family portrait for her living room.,https://ichef.bbci.co.uk/images/ic/1200x675/p08vt0tg.jpg,29 mins,1751,10pm 1 Feb 2010,Hard-bitten ex-junkie Jacqueline McCafferty wants a family portrait for her living room.,Hard-bitten ex-junkie Jacqueline McCafferty wants a family portrait for her living room and primary school power broker Wee Gary offers solutions to embarrassing problems.,"More arresting comedy.Hard-bitten ex-junkie Jacqueline McCafferty wants a family portrait for her living room, primary school power broker Wee Gary offers solutions to embarrassing problems at a price, urban menace John Paul chases his next victim to the toilet, and Limmy has a nightmare."
29,Comedy,My Family - Series 5: 7. My Will Be Done,"BBC, iPlayer, TV, My Family, Series 5: 7. My Will Be Done",12,contains mild sex references and innuendo,"Ben starts thinking about his will, and Susan thinks about his funeral.",https://ichef.bbci.co.uk/images/ic/1200x675/p087rdrf.jpg,29 mins,1742,8:30pm 30 Apr 2004,"Ben starts thinking about his will, and Susan thinks about his funeral.","Domestic sitcom. Ben starts thinking about his will, Susan thinks about his funeral, and Nick takes a job at a funeral director's.","Domestic sitcom. Ben starts thinking about his will, Susan thinks about his funeral, and Nick takes a job with a funeral director."
30,Comedy,Still Open All Hours - Series 1: Episode 1,"BBC, iPlayer, TV, Still Open All Hours, Series 1: Episode 1",12,contains mild sex references and innuendo,Granville is forced into taking extra security precautions for the shops takings.,https://ichef.bbci.co.uk/images/ic/1200x675/p07k0d72.jpg,29 mins,1735,6:25pm 26 Dec 2014,Granville is forced into taking extra security precautions for the shop's takings.,"Sitcom. Granville is forced into taking extra security precautions for the shop's takings, which cause him no end of discomfort.","David Jason returns as Granville, who has inherited the famous corner shop from his beloved but miserly uncle Arkwright. Now running the business with his cheerful and good-looking son Leroy, Granville continues to serve the local community with a keen eye on a profit from some familiar and new faces. In this opening episode Granville is forced into taking extra security precautions for the shop's takings, which cause him no end of discomfort. Eric suffers a curious injury. Love is in the air for some as Mavis receives a special delivery and Granville begins to play matchmaker."
31,Comedy,The Fresh Prince of Bel-Air - Series 1: 25. Working It Out,"BBC, iPlayer, TV, The Fresh Prince of Bel-Air, Series 1: 25. Working It Out",12,contains mild sex references,"Hilary has to go on a date with Wills best friend, Jazz.",https://ichef.bbci.co.uk/images/ic/1200x675/p08z9zfn.jpg,22 mins,1342,1 Jan 2021,"Hilary has to go on a date with Will's best friend, Jazz.","To keep her new job as personal assistant to movie star Marissa Redman, Hilary has to accept a date with Will's best friend Jazz.","To keep her new job as personal assistant to a movie star, Hilary has to accept a date with Will's best friend, Jazz. Guest starring Queen Latifah."
32,Comedy,Not Going Out - Series 8: 6. Marriage Guidance,"BBC, iPlayer, TV, Not Going Out, Series 8: 6. Marriage Guidance",15,"moderate bad language, moderate innuendo",How will Lee and Lucys marriage fare after marriage counselling?,https://ichef.bbci.co.uk/images/ic/1200x675/p04stc33.jpg,28 mins,1676,9pm 24 Feb 2017,How will Lee and Lucy's marriage fare after marriage counselling?,Sitcom. How will Lee and Lucy's marriage fare after marriage counselling?,"If Lee and Lucy's marriage wasn't in trouble before they go to marriage counselling, it is by the time they leave."
33,Comedy,Famalam - Series 3: Episode 5,"BBC, iPlayer, TV, Famalam, Series 3: Episode 5",15,"strong language, sex references, comic violence and gore",Fat Sam goes in search of romance.,https://ichef.bbci.co.uk/images/ic/1200x675/p08p2853.jpg,22 mins,1326,23 Aug 2020,Fat Sam goes in search of romance.,"Fat Sam goes in search of romance, Shawn gets married, and movie star Babatunde Warrington shoots a music video.","Fat Sam goes in search of romance, while Shawn and Leslie get married. Movie star Babatunde Warrington shoots a music video, and our favourite African aunties return for more fun."
34,Comedy,Little Britain - Series 1: Episode 6,"BBC, iPlayer, TV, Little Britain, Series 1: Episode 6",12,contains mild sex references and bad language,"There is good news for Dennis, and Marjorie Dawes bumps into Paul while out shopping.",https://ichef.bbci.co.uk/images/ic/1200x675/p01g4xlc.jpg,28 mins,1674,21 Oct 2003,"There is good news for Dennis, and Marjorie Dawes bumps into Paul while out shopping.","Matt Lucas and David Walliams take a comic look at life in Britain. There is good news for Dennis, and Marjorie Dawes bumps into Paul while out shopping.",No data found
35,Comedy,Porridge (2017) - Series 1: 1. The Go-Between,"BBC, iPlayer, TV, Porridge (2017), Series 1: 1. The Go-Between",PG,"mild bad language, sex references","Fletch has taken to helping his fellow inmates with appeals, letters home and the like.",https://ichef.bbci.co.uk/images/ic/1200x675/p05jgx4w.jpg,30 mins,1800,9:30pm 6 Oct 2017,"Fletch has taken to helping his fellow inmates with appeals, letters home and the like.","Sitcom. Fletch has taken to helping his fellow inmates with appeals, letters home and the like. But when Barry's girlfriend comes to visit, things get complicated.","Fletch has taken to helping his fellow inmates with appeals, letters home and the like. But when Barry's girlfriend comes to visit, things get complicated."
36,Comedy,Not Going Out - Series 1: 2. Death,"BBC, iPlayer, TV, Not Going Out, Series 1: 2. Death",15,"moderate bad language, moderate innuendo","Tims grandmother dies, bringing him and Kate closer together, much to Lees concern.",https://ichef.bbci.co.uk/images/ic/1200x675/p0909kjq.jpg,29 mins,1719,9:30pm 13 Oct 2006,"Tim's grandmother dies, bringing him and Kate closer together, much to Lee's concern.","Sitcom. Tim's grandmother dies, bringing him and Kate closer together. Lee is encouraged to share his thoughts with a therapist, who is not impressed.","Sitcom. Tim's grandmother dies, bringing him and Kate closer together, much to Lee's concern. He's encouraged to share his thoughts with a therapist, who is not impressed with Lee's inability to have a proper conversation. To add to this there is inappropriate behaviour at the funeral, a furious elderly relative and Tim's new tipple of choice is becoming addictive."
